1,QF5213,5,250,Thu May 28 01:49:32 EST 2015,Thu May 28 16:18:49 EST 2015,13,52,32,255,825.0,793.0,695.0,428.0
2,QF1315,4,274,Tue Sep 29 13:50:21 EST 2015,Tue Sep 29 20:41:41 EST 2015,0,12,0,156,500,400,300,100
3,QF2233,6,80,Mon Oct 05 18:55:45 EST 2015,Tue Oct 06 11:47:45 EST 2015,0,58,36,270,500,400,300,100
4,QF6060,2,198,Mon Apr 27 14:17:01 EST 2015,Tue Apr 28 12:45:13 EST 2015,0,30,0,267,500,400,300,100
5,QF3138,4,64,Thu Sep 10 07:17:12 EST 2015,Fri Sep 11 02:09:19 EST 2015,0,12,0,156,500,400,300,100
6,QF3562,1,218,Sat Jun 06 17:33:07 EST 2015,Sun Jun 07 19:27:52 EST 2015,0,36,0,268,500,400,300,100
7,QF2119,6,63,Sat Jun 27 11:00:38 EST 2015,Sat Jun 27 15:01:16 EST 2015,0,58,36,270,500,400,300,100
8,QF2472,2,299,Sun Aug 30 03:39:22 EST 2015,Sun Aug 30 07:06:52 EST 2015,0,30,0,267,500,400,300,100
9,QF2008,5,175,Fri May 29 19:06:32 EST 2015,Sat May 30 00:59:57 EST 2015,14,52,32,255,500,400,300,100
10,QF6041,2,220,Tue Oct 13 13:39:16 EST 2015,Wed Oct 14 22:13:23 EST 2015,0,30,0,267,500,400,300,100
11,QF6494,2,263,Sat Sep 26 12:33:42 EST 2015,Sat Sep 26 22:04:40 EST 2015,0,30,0,267,500,400,300,100
12,QF6376,3,141,Fri Oct 09 05:53:25 EST 2015,Sat Oct 10 19:25:05 EST 2015,14,64,35,371,500,400,300,100
13,QF2607,2,173,Thu Jun 18 20:28:40 EST 2015,Fri Jun 19 03:28:24 EST 2015,0,30,0,267,500,400,300,100
14,QF6455,6,242,Fri Aug 28 00:59:10 EST 2015,Fri Aug 28 05:23:06 EST 2015,0,58,36,270,500,400,300,100
15,QF2135,3,247,Fri Aug 14 00:37:08 EST 2015,Fri Aug 14 08:27:06 EST 2015,14,64,35,371,500,400,300,100
16,QF3110,2,118,Tue May 12 20:34:14 EST 2015,Thu May 14 09:37:15 EST 2015,0,30,0,267,500,400,300,100
17,QF2991,6,87,Sun May 03 13:33:23 EST 2015,Sun May 03 18:31:01 EST 2015,0,58,36,270,500,400,300,100
18,QF1380,4,51,Tue May 12 01:09:54 EST 2015,Wed May 13 13:07:47 EST 2015,0,12,0,156,500,400,300,100
19,QF3064,1,164,Mon Sep 28 15:01:32 EST 2015,Mon Sep 28 21:08:07 EST 2015,0,36,0,268,500,400,300,100
20,QF2685,6,294,Thu Aug 27 22:03:34 EST 2015,Fri Aug 28 19:28:25 EST 2015,0,58,36,270,500,400,300,100
21,QF2109,4,120,Wed Jun 10 18:47:37 EST 2015,Fri Jun 12 03:17:46 EST 2015,0,12,0,156,500,400,300,100
22,QF5500,1,237,Mon Apr 06 03:28:51 EST 2015,Mon Apr 06 15:20:21 EST 2015,0,36,0,268,500,400,300,100
23,QF5014,1,162,Sun Jul 26 07:11:33 EST 2015,Mon Jul 27 18:14:18 EST 2015,0,36,0,268,500,400,300,100
24,QF1274,3,322,Sun Jul 12 14:20:41 EST 2015,Mon Jul 13 02:11:07 EST 2015,14,64,35,371,500,400,300,100
25,QF1173,4,131,Wed Mar 18 00:11:31 EST 2015,Thu Mar 19 03:24:35 EST 2015,0,12,0,156,500,400,300,100
26,QF5180,5,277,Mon Apr 06 13:12:17 EST 2015,Tue Apr 07 12:50:01 EST 2015,14,52,32,255,500,400,300,100
27,QF2150,5,281,Mon Apr 20 13:09:14 EST 2015,Mon Apr 20 19:18:50 EST 2015,14,52,32,255,500,400,300,100
28,QF5763,1,353,Mon Apr 27 21:52:30 EST 2015,Tue Apr 28 22:09:58 EST 2015,0,36,0,268,500,400,300,100
29,QF6582,3,289,Sat Jul 04 03:27:56 EST 2015,Sat Jul 04 23:12:07 EST 2015,14,64,35,371,500,400,300,100
30,QF4124,3,247,Wed Mar 25 01:29:34 EST 2015,Thu Mar 26 10:30:30 EST 2015,14,64,35,371,500,400,300,100
31,QF4212,1,329,Tue Jun 02 07:50:52 EST 2015,Wed Jun 03 09:28:04 EST 2015,0,36,0,268,500,400,300,100
32,QF6314,3,313,Tue May 26 01:11:44 EST 2015,Wed May 27 11:08:14 EST 2015,14,64,35,371,500,400,300,100
33,QF5661,3,32,Thu Sep 17 07:32:52 EST 2015,Thu Sep 17 23:38:54 EST 2015,14,64,35,371,500,400,300,100
34,QF6749,6,338,Tue Jul 07 02:21:37 EST 2015,Tue Jul 07 07:54:11 EST 2015,0,58,36,270,500,400,300,100
35,QF1324,2,52,Thu Jul 09 17:38:07 EST 2015,Thu Jul 09 23:06:18 EST 2015,0,30,0,267,500,400,300,100
36,QF4312,2,79,Wed Jul 08 06:50:07 EST 2015,Wed Jul 08 21:02:57 EST 2015,0,30,0,267,500,400,300,100
37,QF1557,3,210,Sat Aug 08 22:54:01 EST 2015,Mon Aug 10 04:14:26 EST 2015,14,64,35,371,500,400,300,100
38,QF1924,3,131,Tue May 12 01:26:19 EST 2015,Tue May 12 04:50:11 EST 2015,14,64,35,371,500,400,300,100
39,QF2087,2,174,Mon Jun 15 06:54:16 EST 2015,Tue Jun 16 19:20:42 EST 2015,0,30,0,267,500,400,300,100
40,QF2994,2,421,Wed Apr 15 23:39:20 EST 2015,Fri Apr 17 02:41:21 EST 2015,0,27,0,266,500,400,300,100
41,QF3166,3,69,Tue Oct 27 03:18:11 EST 2015,Tue Oct 27 16:29:33 EST 2015,14,64,35,371,500,400,300,100
42,QF3159,1,266,Wed Apr 29 12:04:09 EST 2015,Wed Apr 29 15:53:06 EST 2015,0,36,0,268,500,400,300,100
43,QF4464,2,235,Fri Jul 03 05:49:03 EST 2015,Sat Jul 04 19:07:50 EST 2015,0,30,0,267,500,400,300,100
44,QF4456,4,229,Wed Oct 21 13:07:00 EST 2015,Fri Oct 23 01:03:04 EST 2015,0,12,0,156,500,400,300,100
45,QF4845,5,381,Mon May 18 15:04:06 EST 2015,Mon May 18 19:09:33 EST 2015,14,52,32,255,500,400,300,100
46,QF2175,6,210,Sat Aug 29 22:41:27 EST 2015,Mon Aug 31 07:37:23 EST 2015,0,58,36,270,500,400,300,100
47,QF4346,5,222,Tue May 26 03:18:01 EST 2015,Wed May 27 10:43:55 EST 2015,14,52,32,255,500,400,300,100
48,QF5912,4,403,Mon Aug 03 08:46:43 EST 2015,Mon Aug 03 22:46:25 EST 2015,0,12,0,156,500,400,300,100
49,QF5505,5,324,Sun Mar 29 06:00:25 EST 2015,Mon Mar 30 08:27:06 EST 2015,14,52,32,255,500,400,300,100
50,QF6502,5,162,Mon May 04 19:31:23 EST 2015,Tue May 05 10:25:39 EST 2015,14,52,32,255,500,400,300,100
51,QF1928,2,161,Mon Jun 01 15:23:54 EST 2015,Tue Jun 02 08:45:08 EST 2015,0,30,0,267,500,400,300,100
52,QF1251,2,168,Sat Jul 18 00:00:46 EST 2015,Sun Jul 19 10:53:50 EST 2015,0,30,0,267,500,400,300,100
53,QF3941,4,354,Mon Apr 13 12:04:06 EST 2015,Tue Apr 14 04:06:46 EST 2015,0,12,0,156,500,400,300,100
54,QF6657,2,377,Sun Apr 19 01:09:56 EST 2015,Sun Apr 19 16:14:07 EST 2015,0,30,0,267,500,400,300,100
55,QF2710,1,125,Sat Oct 10 13:41:42 EST 2015,Sat Oct 10 21:55:30 EST 2015,0,36,0,268,500,400,300,100
56,QF4176,3,66,Sat Aug 08 01:50:18 EST 2015,Sun Aug 09 05:34:04 EST 2015,14,64,35,371,500,400,300,100
57,QF1109,5,69,Fri Aug 07 15:11:05 EST 2015,Sat Aug 08 14:17:54 EST 2015,14,52,32,255,500,400,300,100
58,QF6569,4,78,Thu Apr 23 18:20:59 EST 2015,Fri Apr 24 07:09:14 EST 2015,0,12,0,156,500,400,300,100
59,QF1033,4,271,Thu Jul 30 17:11:14 EST 2015,Sat Aug 01 01:09:55 EST 2015,0,12,0,156,500,400,300,100
60,QF1231,1,129,Tue Sep 01 18:48:12 EST 2015,Wed Sep 02 13:35:07 EST 2015,0,36,0,268,500,400,300,100
61,QF1795,6,135,Tue Sep 01 12:38:17 EST 2015,Wed Sep 02 19:22:44 EST 2015,0,58,36,270,500,400,300,100
62,QF3134,4,382,Sat Oct 03 15:23:11 EST 2015,Sun Oct 04 16:12:25 EST 2015,0,12,0,156,500,400,300,100
63,QF2232,3,285,Fri Jun 05 02:20:24 EST 2015,Fri Jun 05 04:29:48 EST 2015,14,64,35,371,500,400,300,100
64,QF3767,4,372,Thu May 28 00:05:35 EST 2015,Thu May 28 16:57:36 EST 2015,0,12,0,156,500,400,300,100
65,QF1653,2,287,Sat Oct 24 15:56:09 EST 2015,Sun Oct 25 02:48:59 EST 2015,0,30,0,267,500,400,300,100
66,QF6293,6,263,Mon May 11 04:31:18 EST 2015,Tue May 12 12:06:05 EST 2015,0,58,36,270,500,400,300,100
67,QF6743,3,348,Sat Sep 05 12:04:22 EST 2015,Sun Sep 06 17:54:32 EST 2015,14,64,35,371,500,400,300,100
68,QF5995,4,361,Tue Jun 09 01:37:13 EST 2015,Wed Jun 10 06:22:37 EST 2015,0,12,0,156,500,400,300,100
69,QF6409,3,110,Sun Aug 30 11:18:10 EST 2015,Mon Aug 31 18:05:42 EST 2015,14,63,34,370,500,400,300,100
